"","Species_tree$tip.label"
"1","Apodemus_peninsulae"
"2","Sciurus_aberti"
"3","Sciurus_nayaritensis"
"4","Tamiasciurus_hudsonicus_grahamensis"
"5","Lepus_americanus"
"6","Sylvilagus_bachmani"
"7","Chlorocebus_aethiops"
"8","Odocoileus_hemionus_columbianus"
"9","Odocoileus_virginianus"
"10","Rangifer_tarandus_caribou"
"11","Alces_alces"
"12","Ovis_canadensis"
"13","Alcelaphus_caama"
"14","Bison_bison"
"15","Equus_burchellii"
"16","Myotis_septentrionalis"
"17","Ursus_americanus"
"18","Puma_concolor"
"19","Elephantulus_brachyrhynchus"
"20","Bettongia_tropica"
"21","Trichosurus_cunninghami"
"22","Perameles_nasuta"
"23","Regulus_calendula"
"24","Hylocichla_mustelina"
"25","Sialia_mexicana"
"26","Peucaea_aestivalis"
"27","Limnothlypis_swainsonii"
"28","Tyto_furcata"
"29","Meleagris_gallopavo_merriami"
"30","Francolinus_levaillantii"
"31","Colinus_virginianus"
"32","Cyrtonyx_montezumae"
"33","Gopherus_agassizii"
"34","Gopherus_polyphemus"
"35","Terrapene_carolina_carolina"
"36","Clemmys_guttata"
"37","Agkistrodon_contortrix"
"38","Chlamydosaurus_kingii"
"39","Crotaphytus_collaris"
"40","Anaxyrus_americanus"
